"instance","prediction_x_interest","mean_prediction_difference","total_cf","execution_time(s)","0","1"
75,0.337520282665044,0.596649449121597,1,43.11,0,100
255,0.452787245207229,0.515206158022843,1,43.34,0,100
505,0.211693807478292,0.590328295033043,1,42.59,0,100
565,0.865910133051585,0.0819815611518943,1,42.27,0,100
573,0.875244814726934,0.0808670766612175,1,41.8,0,100
587,0.597433664694074,0.360171142530858,1,42.13,0,100
1210,0.523102085311583,0.417507073573216,1,42.43,0,100
1531,0.299526187237698,0.663715160525806,1,42.58,0,100
2409,0.813913255862263,0.0795886243591954,1,42.58,0,100
2581,0.681631970094879,0.250771813714225,1,42.69,0,100
